client_id,invoice_no,date,items,invoice_value
12362,580979,2011-12-06 15:40:00,JUMBO BAG RED RETROSPOT,20.8
12363,549687,2011-04-11 13:29:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12364,563854,2011-08-19 15:24:00,PACK OF 72 RETROSPOT CAKE CASES|PARTY BUNTING|SPOTTY BUNTING,47.85
12365,544574,2011-02-21 13:51:00,REGENCY CAKESTAND 3 TIER,12.75
12370,538826,2010-12-14 12:58:00,ASSORTED COLOUR BIRD ORNAMENT|PARTY BUNTING|WHITE HANGING HEART T-LIGHT HOLDER,208.41
12370,571905,2011-10-19 14:51:00,ASSORTED COLOUR BIRD ORNAMENT|WHITE HANGING HEART T-LIGHT HOLDER,129.06
12371,570521,2011-10-11 10:43:00,LUNCH BAG RED RETROSPOT|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC,82.35
12372,552731,2011-05-11 10:43:00,BAKING SET 9 PIECE RETROSPOT,29.700000000000003
12373,542887,2011-02-01 13:10:00,JUMBO BAG RED RETROSPOT|LUNCH BAG CARS BLUE,52.5
12374,576345,2011-11-14 15:37:00,REGENCY CAKESTAND 3 TIER,25.5
12378,562046,2011-08-02 10:34:00,LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES|SPOTTY BUNTING,92.4
12379,557789,2011-06-22 16:32:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12379,567196,2011-09-19 10:09:00,JUMBO BAG RED RETROSPOT|LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,70.3
12380,555739,2011-06-07 09:49:00,JUMBO BAG RED RETROSPOT|LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,70.3
12380,567928,2011-09-22 17:31:00,JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT,58.1
12380,571187,2011-10-14 11:39:00,JAM MAKING SET WITH JARS|PACK OF 72 RETROSPOT CAKE CASES,38.7
12380,577180,2011-11-18 11:27:00,LUNCH BAG SPACEBOY DESIGN,16.5
12381,563100,2011-08-12 09:57:00,PARTY BUNTING|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SET OF 3 CAKE TINS PANTRY DESIGN,62.25
12381,574694,2011-11-06 13:36:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,55.2
12381,580638,2011-12-05 12:44:00,PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,55.650000000000006
12383,539840,2010-12-22 14:28:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12384,562882,2011-08-10 11:23:00,REGENCY CAKESTAND 3 TIER,12.75
12388,541271,2011-01-17 11:12:00,JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS|PARTY BUNTING|SET OF 3 CAKE TINS PANTRY DESIGN,117.9
12388,543357,2011-02-07 13:59:00,JAM MAKING SET WITH JARS|PARTY BUNTING|SET OF 3 CAKE TINS PANTRY DESIGN,75.0
12388,546135,2011-03-09 15:47:00,PARTY BUNTING|SET OF 3 CAKE TINS PANTRY DESIGN,89.10000000000001
12388,560033,2011-07-14 13:28:00,PAPER CHAIN KIT 50'S CHRISTMAS|PARTY BUNTING|SPOTTY BUNTING,87.0
12388,568145,2011-09-25 11:30:00,PAPER CHAIN KIT 50'S CHRISTMAS|PARTY BUNTING|SET OF 3 CAKE TINS PANTRY DESIGN,162.8
12388,578459,2011-11-24 12:30:00,PAPER CHAIN KIT 50'S CHRISTMAS,59.0
12390,567530,2011-09-21 09:33:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12391,577228,2011-11-18 12:07:00,LUNCH BAG RED RETROSPOT|PARTY BUNTING|REX CASH+CARRY JUMBO SHOPPER|SPOTTY BUNTING|WHITE HANGING HEART T-LIGHT HOLDER,42.0
12393,540700,2011-01-11 09:47:00,LUNCH BAG CARS BLUE|LUNCH BAG SPACEBOY DESIGN,66.0
12393,549313,2011-04-08 09:45:00,BAKING SET 9 PIECE RETROSPOT|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,80.85
12393,568708,2011-09-28 15:41:00,LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT,49.5
12395,537026,2010-12-03 16:35:00,JUMBO BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES,69.9
12395,551985,2011-05-05 14:38:00,REGENCY CAKESTAND 3 TIER,12.75
12395,563852,2011-08-19 15:18:00,NATURAL SLATE HEART CHALKBOARD,17.700000000000003
12395,569496,2011-10-04 13:45:00,REGENCY CAKESTAND 3 TIER,76.5
12395,575154,2011-11-08 16:15:00,REGENCY CAKESTAND 3 TIER,12.75
12397,561507,2011-07-27 14:21:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET PRINTED|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SET OF 3 CAKE TINS PANTRY DESIGN,133.2
12397,574336,2011-11-04 09:52:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN|SPOTTY BUNTING,157.2
12398,572567,2011-10-25 10:27:00,BAKING SET 9 PIECE RETROSPOT|LUNCH BAG CARS BLUE|PACK OF 72 RETROSPOT CAKE CASES,59.400000000000006
12399,547412,2011-03-23 09:42:00,LUNCH BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES,29.700000000000003
12399,552543,2011-05-10 10:22:00,LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN|PACK OF 72 RETROSPOT CAKE CASES|SPOTTY BUNTING,103.95
12399,563172,2011-08-12 13:15:00,LUNCH BAG RED RETROSPOT,49.5
12401,543537,2011-02-09 13:50:00,REGENCY CAKESTAND 3 TIER,25.5
12405,559928,2011-07-14 08:52:00,BAKING SET 9 PIECE RETROSPOT|SET OF 3 CAKE TINS PANTRY DESIGN,74.25
12406,577126,2011-11-17 19:22:00,JAM MAKING SET PRINTED,34.8
12407,550440,2011-04-18 12:25:00,PACK OF 72 RETROSPOT CAKE CASES,26.400000000000002
12407,559058,2011-07-06 09:49:00,BAKING SET 9 PIECE RETROSPOT,14.850000000000001
12407,572133,2011-10-21 10:11:00,SET OF 3 CAKE TINS PANTRY DESIGN,14.850000000000001
12408,547684,2011-03-24 14:46:00,JUMBO BAG RED RETROSPOT,19.5
12409,556415,2011-06-10 12:19:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET WITH JARS|JUMBO BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES|PARTY BUNTING|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SPOTTY BUNTING,971.4000000000001
12409,567642,2011-09-21 14:15:00,SPOTTY BUNTING,4.95
12409,567721,2011-09-22 10:38:00,PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SPOTTY BUNTING|WHITE HANGING HEART T-LIGHT HOLDER,616.7
12410,543180,2011-02-04 10:38:00,REGENCY CAKESTAND 3 TIER,25.5
12412,557889,2011-06-23 13:51:00,JAM MAKING SET PRINTED,17.4
12413,540365,2011-01-06 16:12:00,BAKING SET 9 PIECE RETROSPOT|JUMBO BAG RED RETROSPOT,49.2
12413,550338,2011-04-17 15:33:00,JUMBO BAG RED RETROSPOT,20.8
12413,569402,2011-10-04 09:00:00,BAKING SET 9 PIECE RETROSPOT|JUMBO BAG RED RETROSPOT|NATURAL SLATE HEART CHALKBOARD,68.2
12414,552202,2011-05-06 14:51:00,PARTY BUNTING,39.6
12415,540267,2011-01-06 11:12:00,SET OF 3 CAKE TINS PANTRY DESIGN,1020.0
12415,543989,2011-02-15 09:52:00,JAM MAKING SET WITH JARS|LUNCH BAG SPACEBOY DESIGN|PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC,1664.1999999999998
12415,545475,2011-03-03 10:59:00,JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS|LUNCH BAG SPACEBOY DESIGN|REGENCY CAKESTAND 3 TIER,1065.4
12415,553546,2011-05-17 15:42:00,NATURAL SLATE HEART CHALKBOARD|PARTY BUNTING|SPOTTY BUNTING,989.7
12415,556917,2011-06-15 13:37:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET WITH JARS|JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SET OF 3 CAKE TINS PANTRY DESIGN,1930.2
12415,559919,2011-07-13 15:30:00,RETROSPOT TEA SET CERAMIC 11 PC,204.0
12415,560491,2011-07-19 10:51:00,BAKING SET 9 PIECE RETROSPOT|JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT|SET OF 3 CAKE TINS PANTRY DESIGN,13.63
12415,563614,2011-08-18 08:51:00,BAKING SET 9 PIECE RETROSPOT|JUMBO BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN|PARTY BUNTING|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SET OF 3 CAKE TINS PANTRY DESIGN|SPOTTY BUNTING,2082.4
12415,569650,2011-10-05 12:44:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,311.2
12415,576394,2011-11-15 10:32:00,LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,290.0
12417,539391,2010-12-17 11:51:00,REGENCY CAKESTAND 3 TIER,51.0
12417,541991,2011-01-25 09:11:00,JAM MAKING SET WITH JARS|SET OF 3 CAKE TINS PANTRY DESIGN,40.35
12417,551398,2011-04-28 13:09:00,BAKING SET 9 PIECE RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES,28.050000000000004
12417,564378,2011-08-25 10:26:00,REGENCY CAKESTAND 3 TIER,38.25
12417,573656,2011-10-31 16:02:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,40.35
12417,580965,2011-12-06 14:52:00,REGENCY CAKESTAND 3 TIER,51.0
12418,563756,2011-08-19 11:08:00,BAKING SET 9 PIECE RETROSPOT|PARTY BUNTING|SPOTTY BUNTING,118.80000000000001
12420,570000,2011-10-07 08:55:00,BAKING SET 9 PIECE RETROSPOT|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,42.45
12422,541520,2011-01-19 09:13:00,LUNCH BAG CARS BLUE,16.5
12422,558041,2011-06-24 13:20:00,HEART OF WICKER SMALL|JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS,62.699999999999996
12423,539676,2010-12-21 10:54:00,ASSORTED COLOUR BIRD ORNAMENT,13.52
12423,544474,2011-02-21 09:52:00,SET OF 3 CAKE TINS PANTRY DESIGN,14.850000000000001
12423,547109,2011-03-21 11:46:00,JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,52.5
12424,558536,2011-06-30 12:06:00,PARTY BUNTING|SPOTTY BUNTING,237.60000000000002
12424,558537,2011-06-30 12:06:00,BAKING SET 9 PIECE RETROSPOT|RETROSPOT TEA SET CERAMIC 11 PC,29.700000000000003
12425,567929,2011-09-22 17:31:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET PRINTED|LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT|PACK OF 72 RETROSPOT CAKE CASES|RETROSPOT TEA SET CERAMIC 11 PC|SET OF 3 CAKE TINS PANTRY DESIGN,108.15
12426,554985,2011-05-29 12:26:00,JAM MAKING SET WITH JARS,25.5
12427,570452,2011-10-10 15:15:00,SPOTTY BUNTING,14.850000000000001
12428,545226,2011-03-01 09:33:00,JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS|JUMBO BAG RED RETROSPOT|PARTY BUNTING|RETROSPOT TEA SET CERAMIC 11 PC|WHITE HANGING HEART T-LIGHT HOLDER,114.75
12428,545227,2011-03-01 09:35:00,PACK OF 72 RETROSPOT CAKE CASES|SET OF 3 CAKE TINS PANTRY DESIGN,57.75000000000001
12428,559004,2011-07-05 12:23:00,JUMBO BAG RED RETROSPOT|PARTY BUNTING,60.400000000000006
12428,563020,2011-08-11 12:58:00,JUMBO BAG RED RETROSPOT,41.6
12428,576082,2011-11-14 08:22:00,JUMBO BAG RED RETROSPOT,20.8
12429,538003,2010-12-09 12:05:00,JAM MAKING SET WITH JARS,25.5
12429,551054,2011-04-26 11:44:00,ASSORTED COLOUR BIRD ORNAMENT|JAM MAKING SET WITH JARS|PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER,77.72
12429,557427,2011-06-20 12:14:00,PARTY BUNTING,59.400000000000006
12431,539419,2010-12-17 14:10:00,JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT,36.0
12431,544193,2011-02-17 08:23:00,LUNCH BAG SPACEBOY DESIGN,16.5
12431,552956,2011-05-12 12:34:00,LUNCH BAG SPACEBOY DESIGN,16.5
12431,554126,2011-05-23 09:14:00,LUNCH BAG SPACEBOY DESIGN,16.5
12431,560473,2011-07-19 10:42:00,BAKING SET 9 PIECE RETROSPOT|LUNCH BAG RED RETROSPOT|SPOTTY BUNTING,77.55000000000001
12431,561040,2011-07-24 12:05:00,BAKING SET 9 PIECE RETROSPOT,29.700000000000003
12431,563179,2011-08-12 14:19:00,LUNCH BAG RED RETROSPOT,16.5
12431,569722,2011-10-06 09:31:00,REGENCY CAKESTAND 3 TIER|SPOTTY BUNTING,65.85
12432,557472,2011-06-20 13:27:00,BAKING SET 9 PIECE RETROSPOT,44.550000000000004
12433,536532,2010-12-01 13:24:00,JAM MAKING SET PRINTED|PACK OF 72 RETROSPOT CAKE CASES,48.0
12433,537868,2010-12-08 16:49:00,JAM MAKING SET PRINTED|PACK OF 72 RETROSPOT CAKE CASES,48.0
12433,566195,2011-09-09 13:44:00,PACK OF 72 RETROSPOT CAKE CASES|SET OF 3 CAKE TINS PANTRY DESIGN,118.4
12433,579692,2011-11-30 14:05:00,SET OF 3 CAKE TINS PANTRY DESIGN,68.0
12433,581476,2011-12-09 08:48:00,SET OF 3 CAKE TINS PANTRY DESIGN,68.0
12434,567085,2011-09-16 12:38:00,SPOTTY BUNTING,14.850000000000001
12435,546780,2011-03-17 07:40:00,JAM MAKING SET WITH JARS,135.0
12436,565124,2011-09-01 12:09:00,PARTY BUNTING|SET OF 3 CAKE TINS PANTRY DESIGN|SPOTTY BUNTING,113.85000000000001
12437,551389,2011-04-28 11:45:00,PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER,38.7
12437,553577,2011-05-18 10:34:00,PACK OF 72 RETROSPOT CAKE CASES|PARTY BUNTING,72.60000000000001
12437,554555,2011-05-25 10:08:00,REGENCY CAKESTAND 3 TIER,51.0
12437,556816,2011-06-15 09:01:00,LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT,33.0
12437,565321,2011-09-02 13:14:00,REGENCY CAKESTAND 3 TIER,76.5
12437,567910,2011-09-22 16:58:00,PARTY BUNTING,19.8
12437,574093,2011-11-03 09:43:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12437,577344,2011-11-18 15:14:00,REGENCY CAKESTAND 3 TIER,38.25
12437,579870,2011-11-30 16:47:00,JAM MAKING SET WITH JARS|REGENCY CAKESTAND 3 TIER,38.25
12437,581279,2011-12-08 11:35:00,REGENCY CAKESTAND 3 TIER,76.5
12438,560991,2011-07-22 13:29:00,BAKING SET 9 PIECE RETROSPOT|REGENCY CAKESTAND 3 TIER,27.6
12438,578811,2011-11-25 13:28:00,REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC,110.4
12441,537693,2010-12-08 10:45:00,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003
12444,557621,2011-06-21 14:00:00,ASSORTED COLOUR BIRD ORNAMENT|NATURAL SLATE HEART CHALKBOARD|REGENCY CAKESTAND 3 TIER,94.97
12444,562844,2011-08-10 08:41:00,ASSORTED COLOUR BIRD ORNAMENT|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,92.12
12444,566773,2011-09-15 09:43:00,SET OF 3 CAKE TINS PANTRY DESIGN,29.700000000000003
12444,570793,2011-10-12 12:08:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,95.55000000000001
12444,577314,2011-11-18 13:23:00,SET OF 3 CAKE TINS PANTRY DESIGN,14.850000000000001
12446,571035,2011-10-13 12:50:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET WITH JARS|JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT|PARTY BUNTING|REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC|SPOTTY BUNTING,167.5
12447,549559,2011-04-10 13:25:00,JUMBO BAG RED RETROSPOT,19.5
12448,572886,2011-10-26 13:46:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12449,555572,2011-06-05 15:37:00,LUNCH BAG SPACEBOY DESIGN,16.5
12449,577046,2011-11-17 13:46:00,LUNCH BAG RED RETROSPOT,16.5
12451,541518,2011-01-19 09:05:00,JUMBO BAG RED RETROSPOT|LUNCH BAG CARS BLUE|PACK OF 72 RETROSPOT CAKE CASES,81.9
12451,552013,2011-05-05 17:34:00,JUMBO BAG RED RETROSPOT|LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN|PACK OF 72 RETROSPOT CAKE CASES|PARTY BUNTING,284.5
12451,569653,2011-10-05 12:52:00,LUNCH BAG RED RETROSPOT|RETROSPOT TEA SET CERAMIC 11 PC,77.55000000000001
12451,577157,2011-11-18 09:58:00,LUNCH BAG SPACEBOY DESIGN,16.5
12452,578099,2011-11-23 08:05:00,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003
12453,561627,2011-07-28 14:08:00,BAKING SET 9 PIECE RETROSPOT|JAM MAKING SET PRINTED|RETROSPOT TEA SET CERAMIC 11 PC,47.1
12454,571255,2011-10-14 17:13:00,REGENCY CAKESTAND 3 TIER,350.4
12455,544097,2011-02-16 09:56:00,WHITE HANGING HEART T-LIGHT HOLDER,81.6
12455,555470,2011-06-03 11:33:00,JUMBO BAG RED RETROSPOT|LUNCH BAG RED RETROSPOT,37.3
12455,568554,2011-09-27 15:31:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12456,548212,2011-03-30 09:12:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,68.4
12456,561898,2011-07-31 15:25:00,ASSORTED COLOUR BIRD ORNAMENT|REGENCY CAKESTAND 3 TIER,188.72
12456,572896,2011-10-26 14:41:00,ASSORTED COLOUR BIRD ORNAMENT|HEART OF WICKER LARGE,71.78
12457,550188,2011-04-14 18:57:00,PARTY BUNTING,39.6
12457,566756,2011-09-14 15:54:00,LUNCH BAG SPACEBOY DESIGN|RETROSPOT TEA SET CERAMIC 11 PC,31.35
12458,545084,2011-02-28 10:55:00,LUNCH BAG CARS BLUE,49.5
12458,568950,2011-09-29 15:25:00,BAKING SET 9 PIECE RETROSPOT|LUNCH BAG CARS BLUE|RETROSPOT TEA SET CERAMIC 11 PC,62.7
12461,559372,2011-07-08 10:23:00,ASSORTED COLOUR BIRD ORNAMENT,13.52
12462,543541,2011-02-09 14:44:00,REGENCY CAKESTAND 3 TIER|WHITE HANGING HEART T-LIGHT HOLDER,30.450000000000003
12462,577606,2011-11-21 09:11:00,REGENCY CAKESTAND 3 TIER,12.75
12463,553415,2011-05-17 10:02:00,REGENCY CAKESTAND 3 TIER,12.75
12463,571445,2011-10-17 13:44:00,REGENCY CAKESTAND 3 TIER,12.75
12465,557885,2011-06-23 13:37:00,PACK OF 72 RETROSPOT CAKE CASES,13.200000000000001
12465,578084,2011-11-22 16:34:00,RETROSPOT TEA SET CERAMIC 11 PC,14.850000000000001
12468,555523,2011-06-05 11:36:00,JAM MAKING SET PRINTED|SPOTTY BUNTING,32.25
12471,538174,2010-12-10 09:35:00,PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER,363.59999999999997
12471,539395,2010-12-17 11:52:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,420.0
12471,539398,2010-12-17 11:53:00,SET OF 3 CAKE TINS PANTRY DESIGN,29.700000000000003
12471,541093,2011-01-13 13:21:00,REGENCY CAKESTAND 3 TIER,525.5999999999999
12471,543056,2011-02-03 10:47:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,409.79999999999995
12471,544811,2011-02-23 15:53:00,SET OF 3 CAKE TINS PANTRY DESIGN,29.700000000000003
12471,546920,2011-03-18 09:55:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,427.2
12471,553037,2011-05-13 08:10:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,385.2
12471,559298,2011-07-07 12:38:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,210.0
12471,563950,2011-08-22 10:39:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,560.3999999999999
12471,567924,2011-09-22 17:25:00,JAM MAKING SET PRINTED,17.4
12471,569640,2011-10-05 12:25:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,893.4
12471,576909,2011-11-17 09:49:00,JAM MAKING SET PRINTED,34.8
12471,578469,2011-11-24 12:36:00,REGENCY CAKESTAND 3 TIER,175.2
12471,579416,2011-11-29 13:00:00,JAM MAKING SET PRINTED,17.4
12471,581179,2011-12-07 15:43:00,JAM MAKING SET PRINTED|REGENCY CAKESTAND 3 TIER,735.5999999999999
12472,537201,2010-12-05 14:19:00,JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS|REGENCY CAKESTAND 3 TIER,113.4
12472,542215,2011-01-26 12:27:00,REGENCY CAKESTAND 3 TIER,76.5
12472,546843,2011-03-17 12:40:00,REGENCY CAKESTAND 3 TIER,51.0
12472,556578,2011-06-13 14:13:00,LUNCH BAG CARS BLUE|LUNCH BAG SPACEBOY DESIGN|REGENCY CAKESTAND 3 TIER,84.0
12472,561037,2011-07-24 11:55:00,REGENCY CAKESTAND 3 TIER,25.5
12472,571824,2011-10-19 11:49:00,LUNCH BAG SPACEBOY DESIGN|REGENCY CAKESTAND 3 TIER,67.5
12473,555162,2011-06-01 10:15:00,ASSORTED COLOUR BIRD ORNAMENT,27.04
12473,563540,2011-08-17 12:04:00,JUMBO BAG RED RETROSPOT,20.8
12473,571328,2011-10-17 11:27:00,ASSORTED COLOUR BIRD ORNAMENT|LUNCH BAG RED RETROSPOT,43.54
12474,541224,2011-01-14 14:45:00,RETROSPOT TEA SET CERAMIC 11 PC,14.850000000000001
12474,547005,2011-03-18 14:20:00,REGENCY CAKESTAND 3 TIER,25.5
12474,571312,2011-10-17 10:42:00,SET OF 3 CAKE TINS PANTRY DESIGN,14.850000000000001
12474,572061,2011-10-20 12:53:00,REGENCY CAKESTAND 3 TIER,12.75
12474,576607,2011-11-15 15:42:00,PAPER CHAIN KIT 50'S CHRISTMAS,35.400000000000006
12474,578043,2011-11-22 14:39:00,RETROSPOT TEA SET CERAMIC 11 PC,14.850000000000001
12475,571308,2011-10-17 10:10:00,BAKING SET 9 PIECE RETROSPOT,14.850000000000001
12476,542648,2011-01-31 11:46:00,ASSORTED COLOUR BIRD ORNAMENT|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,80.91
12476,550527,2011-04-19 10:48:00,ASSORTED COLOUR BIRD ORNAMENT|REGENCY CAKESTAND 3 TIER,118.6
12476,560901,2011-07-21 17:39:00,REGENCY CAKESTAND 3 TIER,76.5
12476,566987,2011-09-16 10:56:00,REGENCY CAKESTAND 3 TIER,76.5
12476,572559,2011-10-25 08:44:00,PAPER CHAIN KIT 50'S CHRISTMAS,35.400000000000006
12476,578472,2011-11-24 12:40:00,ASSORTED COLOUR BIRD ORNAMENT|RETROSPOT TEA SET CERAMIC 11 PC|WHITE HANGING HEART T-LIGHT HOLDER,117.85
